planet_name,host_star,sy_snum,sy_pnum,discovery_method,discovery_year,disc_facility,pl_controv_flag,orbital_period_days,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,orbit_distance_au,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,planet_radius_earth,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,planet_mass_earth,pl_bmasselim,pl_bmassj,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenlim,pl_insol,pl_insollim,planet_temperature_k,pl_eqtlim,ttv_flag,star_temperature_k,st_tefferr1,st_tefferr2,st_tefflim,star_radius_solar,st_raderr1,st_raderr2,st_radlim,star_mass_solar,st_masserr1,st_masserr2,st_masslim,star_metallicity,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,distance_pc,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
HD 101930 b,HD 101930,2,1,Radial Velocity,2005,La Silla Observatory,0,70.46,0.18,-0.18,0.0,0.3,0.01,-0.01,0.0,10.6,0.5204222055080471,-0.41654905667787656,0.0,0.949,0.04643288487148691,-0.037166464244535194,0.0,79.4575,0.0,0.25,0.0,Msini,0.11,0.0,423.09774895269476,0.0,915.9174236387781,0.0006640106241699867,0,5108.0,27.0,-27.0,0.0,0.86,0.02,-0.02,0.0,0.57,0.07,-0.07,0.0,0.15,0.09720361307589372,-0.10304054674058499,0.0,[Fe/H],4.33,0.05,-0.05,0.0,11h43m30.15s,175.875608,-58d00m19.37s,-58.0053798,30.0274,0.0409,-0.0407,8.21,0.03,-0.03,6.147,0.026,-0.026,7.96664,0.000351,-0.000351
HD 102117 b,HD 102117,1,1,Radial Velocity,2005,La Silla Observatory,0,20.8133,0.0064,-0.0064,0.0,0.15,0.0,0.0,0.0,8.47,0.5204222055080471,-0.41654905667787656,0.0,0.756,0.04643288487148691,-0.037166464244535194,0.0,54.0311,0.0,0.17,0.0,Msini,0.12,0.0,423.09774895269476,0.0,915.9174236387781,0.0006640106241699867,0,5655.0,16.0,-16.0,0.0,1.23,0.02,-0.02,0.0,1.06,0.07,-0.07,0.0,0.28,0.09720361307589372,-0.10304054674058499,0.0,[Fe/H],4.29,0.02,-0.02,0.0,11h44m50.33s,176.2097267,-58d42m14.45s,-58.7040134,39.5792,0.0646,-0.0644,7.47,0.03,-0.03,5.833,0.02,-0.02,7.28191,0.000223,-0.000223
HD 102195 b,HD 102195,1,1,Radial Velocity,2006,Kitt Peak National Observatory,0,4.11377,0.00056,-0.00056,0.0,0.05,0.0,0.0,0.0,14.2,0.5204222055080471,-0.41654905667787656,0.0,1.27,0.04643288487148691,-0.037166464244535194,0.0,130.3103,0.0,0.41,0.0,Msini,0.0,0.0,423.09774895269476,0.0,915.9174236387781,0.0006640106241699867,0,5301.0,6.0,-6.0,0.0,0.82,0.01,-0.01,0.0,0.76,0.04,-0.04,0.0,0.04,0.09720361307589372,-0.10304054674058499,0.0,[Fe/H],4.49,0.02,-0.02,0.0,11h45m42.10s,176.4254063,+02d49m15.57s,2.8209912,29.3386,0.0482,-0.048,8.07,0.03,-0.03,6.151,0.018,-0.018,7.84665,0.000576,-0.000576
HD 102272 b,HD 102272,1,1,Radial Velocity,2008,McDonald Observatory,0,127.58,0.3,-0.3,0.0,0.51,0.03,-0.03,0.0,12.9,0.5204222055080471,-0.41654905667787656,0.0,1.15,0.04643288487148691,-0.037166464244535194,0.0,1570.0802,0.0,4.94,0.0,Msini,0.05,0.0,423.09774895269476,0.0,915.9174236387781,0.0006640106241699867,0,4790.0,40.0,-40.0,0.0,10.3,0.97,-0.97,0.0,1.45,0.27,-0.27,0.0,-0.41,0.09720361307589372,-0.10304054674058499,0.0,[Fe/H],2.58,0.0,0.0,0.0,11h46m23.53s,176.5980316,+14d07m26.47s,14.1240201,347.097,13.7975,-13.7975,8.69,0.03,-0.03,6.259,0.016,-0.016,8.40499,0.000368,-0.000368
HD 102329 b,HD 102329,1,2,Radial Velocity,2011,W. M. Keck Observatory,0,778.09998,7.5,-7.5,0.0,1.81,0.07,-0.07,0.0,12.6,0.5204222055080471,-0.41654905667787656,0.0,1.12,0.04643288487148691,-0.037166464244535194,0.0,2593.4928,0.0,8.16,0.0,Msini,0.21,0.0,423.09774895269476,0.0,915.9174236387781,0.0006640106241699867,0,4745.0,71.0,-71.0,0.0,9.82,0.75,-0.75,0.0,3.21,1.28,-1.28,0.0,0.05,0.09720361307589372,-0.10304054674058499,0.0,[Fe/H],2.96,0.16,-0.16,0.0,11h46m46.60s,176.6941567,+03d28m27.17s,3.4742143,217.107,3.172,-3.083,7.88,0.03,-0.03,5.402,0.018,-0.018,7.58172,0.000303,-0.000303
HD 102329 c,HD 102329,1,2,Radial Velocity,2018,W. M. Keck Observatory,0,1123.0,79.0,-53.0,0.0,15.692835973800277,1.8324682158137156,-0.9681148506008933,-0.0005216484089723526,13.5,0.5204222055080471,-0.41654905667787656,0.0,1.21,0.04643288487148691,-0.037166464244535194,0.0,483.1016,0.0,1.52,0.0,Msini,0.209,0.0,423.09774895269476,0.0,915.9174236387781,0.0006640106241699867,0,4830.0,44.0,-44.0,0.0,6.3,0.1,-0.1,0.0,1.3,0.15,-0.15,0.0,0.3,0.03,-0.03,0.0,[Fe/H],3.0,0.06,-0.06,0.0,11h46m46.60s,176.6941567,+03d28m27.17s,3.4742143,217.107,3.172,-3.083,7.88,0.03,-0.03,5.402,0.018,-0.018,7.58172,0.000303,-0.000303
HD 102365 b,HD 102365,2,1,Radial Velocity,2010,Anglo-Australian Telescope,0,122.1,0.3,-0.3,0.0,0.46,0.04,-0.04,0.0,4.14,0.5204222055080471,-0.41654905667787656,0.0,0.369,0.04643288487148691,-0.037166464244535194,0.0,16.0,0.0,0.05,0.0,Msini,0.34,0.0,423.09774895269476,0.0,915.9174236387781,0.0006640106241699867,0,5630.0,98.58479009687836,-99.35817366343738,0.0,0.95138,0.055337,-0.049332,0.0,0.85,0.08504336306946128,-0.0788097895010395,0.0,-0.26,0.09720361307589372,-0.10304054674058499,0.0,[Fe/H],4.57,0.08264654974856323,-0.09735663451867818,0.0,11h46m28.99s,176.6208003,-40d29m55.04s,-40.4986211,9.2894,0.01424,-0.0142,4.89,0.03,-0.03,3.489,0.278,-0.278,4.71107,0.0029997,-0.0029997
HD 102843 b,HD 102843,1,1,Radial Velocity,2019,Las Campanas Observatory,0,3090.942,295.049,-295.049,0.0,4.074,0.27,-0.27,0.0,13.1,0.5204222055080471,-0.41654905667787656,0.0,1.17,0.04643288487148691,-0.037166464244535194,0.0,113.9,0.0,0.35836768,0.0,Msini,0.11,0.0,423.09774895269476,0.0,915.9174236387781,0.0006640106241699867,0,5436.0,144.0,-69.0,0.0,0.961488,0.02493,-0.048817,0.0,0.95,0.05,-0.05,0.0,0.16,0.05,-0.05,0.0,[M/H],4.45935,0.049683,-0.097283,0.0,11h50m20.51s,177.5854673,-01d15m08.28s,-1.2522989,62.758,0.2124,-0.2111,9.26,0.03,-0.03,7.495,0.023,-0.023,9.04883,0.000175,-0.000175
HD 102888 b,HD 102888,1,1,Radial Velocity,2025,La Silla Observatory,0,252.06,0.24,-0.24,0.0,1.05,0.001,-0.001,0.0,12.8,0.5204222055080471,-0.41654905667787656,0.0,1.14,0.04643288487148691,-0.037166464244535194,0.0,1808.44363583,0.0,5.69,0.0,Msini,0.11,0.0,423.09774895269476,0.0,915.9174236387781,0.0006640106241699867,0,4990.0,39.0,-39.0,0.0,8.6,0.17,-0.17,0.0,2.42,0.06,-0.06,0.0,0.07,0.03,-0.03,0.0,[Fe/H],2.87,0.09,-0.09,0.0,11h50m37.09s,177.6545263,-27d16m40.47s,-27.2779074,126.484,1.161,-1.14,6.48,0.03,-0.03,4.269,0.036,-0.036,6.22053,0.0003262,-0.0003262
HD 102956 b,HD 102956,2,1,Radial Velocity,2010,W. M. Keck Observatory,0,6.4947,0.00019,-0.00019,0.0,0.0807,0.0073,-0.0073,0.0,13.8,0.5204222055080471,-0.41654905667787656,0.0,1.23,0.04643288487148691,-0.037166464244535194,0.0,305.1168,0.0,0.96,0.0,Msini,0.037,0.0,423.09774895269476,0.0,915.9174236387781,0.0006640106241699867,0,4985.0,98.58479009687836,-99.35817366343738,0.0,4.55,0.19051877837354783,-0.14876385824097246,0.0,1.66,0.08504336306946128,-0.0788097895010395,0.0,0.19,0.04,-0.04,0.0,[Fe/H],3.38,0.08264654974856323,-0.09735663451867818,0.0,11h51m22.49s,177.8436988,+57d38m26.37s,57.6406584,121.89,0.4345,-0.4345,7.86,0.03,-0.03,5.663,0.02,-0.02,7.60844,0.000384,-0.000384
