Planet_Name,Habitabilty_Probability
Kepler-1213 b,0.76926794520193
Kepler-1213 b,0.76926794520193
Kepler-1213 b,0.76926794520193
Kepler-1328 b,0.7688495441743212
Kepler-1328 b,0.7688495441743212
Kepler-1328 b,0.7688495441743212
Kepler-826 b,0.7686067234520979
Kepler-826 b,0.7686067234520979
Kepler-826 b,0.7686067234520979
Kepler-1398 c,0.7676718400819499
Kepler-1398 c,0.7676718400819499
Kepler-1398 c,0.7676718400819499
Kepler-1443 b,0.7668920169583621
Kepler-1443 b,0.7668920169583621
Kepler-1443 b,0.7668920169583621
Kepler-1421 b,0.7648118313275123
Kepler-1421 b,0.7648118313275123
Kepler-1421 b,0.7648118313275123
Kepler-1340 b,0.764226247366505
Kepler-1340 b,0.764226247366505
Kepler-1340 b,0.764226247366505
Kepler-1258 b,0.7641122780433772
Kepler-1258 b,0.7641122780433772
Kepler-1258 b,0.7641122780433772
Kepler-1082 b,0.7641122780433772
Kepler-1082 b,0.7641122780433772
Kepler-1082 b,0.7641122780433772
Kepler-1398 b,0.7641122780433772
Kepler-1398 b,0.7641122780433772
Kepler-1398 b,0.7641122780433772
Kepler-1289 b,0.7639956373691166
Kepler-1289 b,0.7639956373691166
Kepler-1289 b,0.7639956373691166
Kepler-1031 b,0.7635375653996991
Kepler-1031 b,0.7635375653996991
Kepler-1031 b,0.7635375653996991
Kepler-1163 b,0.7631248446678522
Kepler-1163 b,0.7631248446678522
Kepler-1163 b,0.7631248446678522
Kepler-1278 b,0.7624669892619497
Kepler-1278 b,0.7624669892619497
Kepler-1278 b,0.7624669892619497
Kepler-1934 b,0.7623942052057113
Kepler-1934 b,0.7623942052057113
Kepler-1934 b,0.7623942052057113
Kepler-1949 b,0.7621143121498583
Kepler-1960 b,0.7621143121498583
Kepler-1960 b,0.7621143121498583
Kepler-1949 b,0.7621143121498583
Kepler-1949 b,0.7621143121498583
Kepler-1960 b,0.7621143121498583
Kepler-1905 b,0.7616959111222491
Kepler-1905 b,0.7616959111222491
Kepler-1905 b,0.7616959111222491
Kepler-1592 b,0.7614530904000258
Kepler-1592 b,0.7614530904000258
Kepler-1592 b,0.7614530904000258
Kepler-1373 b,0.7614530904000258
Kepler-1373 b,0.7614530904000258
Kepler-1373 b,0.7614530904000258
Kepler-1943 b,0.7608466069256886
Kepler-1943 b,0.7608466069256886
Kepler-1943 b,0.7608466069256886
Kepler-336 b,0.7607898344218643
Kepler-336 b,0.7607898344218643
Kepler-336 b,0.7607898344218643
Kepler-1357 b,0.7607556783329497
Kepler-1357 b,0.7607556783329497
Kepler-1357 b,0.7607556783329497
Kepler-1073 d,0.7606471770157401
Kepler-1073 d,0.7606471770157401
Kepler-1073 d,0.7606471770157401
Kepler-1693 c,0.7604120630532233
Kepler-1693 c,0.7604120630532233
Kepler-1693 c,0.7604120630532233
Kepler-1336 c,0.7571225661615907
Kepler-1336 c,0.7571225661615907
Kepler-1336 c,0.7571225661615907
Kepler-1412 b,0.7567879568293714
Kepler-1412 b,0.7567879568293714
Kepler-1412 b,0.7567879568293714
Kepler-1563 b,0.7560493774880129
Kepler-1563 b,0.7560493774880129
Kepler-1563 b,0.7560493774880129
Kepler-1561 b,0.7557788079398426
Kepler-1561 b,0.7557788079398426
Kepler-1561 b,0.7557788079398426
Kepler-1393 b,0.7552021204806405
Kepler-1393 b,0.7552021204806405
Kepler-1393 b,0.7552021204806405
Kepler-1047 c,0.7547647418734584
Kepler-1047 c,0.7547647418734584
Kepler-1047 c,0.7547647418734584
Kepler-339 c,0.7533451588620559
Kepler-339 c,0.7533451588620559
Kepler-339 c,0.7533451588620559
Kepler-1091 b,0.753187658399794
Kepler-1091 b,0.753187658399794
Kepler-1091 b,0.753187658399794
Kepler-1390 b,0.7518457691579079
Kepler-1390 b,0.7518457691579079
Kepler-1390 b,0.7518457691579079
Kepler-1365 b,0.7517030188027534
Kepler-1365 b,0.7517030188027534
Kepler-1365 b,0.7517030188027534
Kepler-320 b,0.7513364910817028
Kepler-320 b,0.7513364910817028
Kepler-320 b,0.7513364910817028
Kepler-1695 b,0.7512868832251794
Kepler-1695 b,0.7512868832251794
Kepler-1695 b,0.7512868832251794
Kepler-163 b,0.7511803602513919
Kepler-163 b,0.7511803602513919
Kepler-163 b,0.7511803602513919
Kepler-1385 b,0.7511320116158035
Kepler-1385 b,0.7511320116158035
Kepler-1385 b,0.7511320116158035
Kepler-1592 b,0.7501918016864366
Kepler-1365 c,0.7500053357267931
Kepler-1365 c,0.7500053357267931
Kepler-1365 c,0.7500053357267931
Kepler-770 d,0.749663811791504
Kepler-770 d,0.749663811791504
Kepler-770 d,0.749663811791504
Kepler-756 b,0.749180636255851
Kepler-756 b,0.749180636255851
Kepler-756 b,0.749180636255851
Kepler-1117 b,0.7489257009789075
Kepler-1117 b,0.7489257009789075
Kepler-1117 b,0.7489257009789075
Kepler-1591 b,0.7486110368576899
Kepler-1591 b,0.7486110368576899
Kepler-1591 b,0.7486110368576899
Kepler-1386 b,0.7485799985227445
Kepler-1386 b,0.7485799985227445
Kepler-1386 b,0.7485799985227445
Kepler-1310 b,0.7484082257136935
Kepler-1310 b,0.7484082257136935
Kepler-1310 b,0.7484082257136935
Kepler-119 c,0.7481335174018631
Kepler-119 c,0.7481335174018631
Kepler-119 c,0.7481335174018631
Kepler-1699 b,0.7470803919791814
Kepler-1699 b,0.7470803919791814
Kepler-1699 b,0.7470803919791814
Kepler-1038 c,0.7466122426848238
Kepler-1038 c,0.7466122426848238
Kepler-1038 c,0.7466122426848238
